Usuario,Fecha y hora,Operacion,Valores,Textos
Tomi,1686410132.941022,Nuevo usuario,,
Tomi,1686410144.872922,Perfil modificado,,
Tomi,1686410174.926506,Perfil modificado,,
Tomi,1686410187.484342,Perfil modificado,,
Tomi,1686410198.480978,Cambio_configuración,,
Tomi,1686410226.48523,Nueva imagen clasificada.,,
Tomi,1686410248.464112,Modificación de imagen.,,
Tomi,1686410307.817357,Meme guardado,template4.jpg,"['Bruno, rehaciendo todas las rutas', 'Yo, a las 8 am']"
Tomi,1686410447.790394,Nueva imagen clasificada.,,
Tomi,1686410541.713725,Collage guardado,"['Cat03.jpg', 'F100037432.jpg']",Un bicho y un gato
Invitado,1686498563.844745,Modificación de imagen.,,
Invitado,1686498582.96536,Modificación de imagen.,,
Tomi,1686671362.939715,Modificación de imagen.,,
Invitado,1686671377.13268,Modificación de imagen.,,
Invitado,1686757764.002788,Modificación de imagen.,,
Tomi,1686756000.0,Modificación de imagen.,,
Tomi,1686412861.878062,Nueva imagen clasificada.,,
Batman,1686491164.241517,Nuevo usuario,,
Batman,1686491200.465664,Nueva imagen clasificada.,,
Batman,1686491216.502451,Modificación de imagen.,,
Batman,1686491470.351113,Nueva imagen clasificada.,,
Pato,1686510882.320768,Nuevo usuario,,
Tomi,1686510972.74151,Meme guardado,template3.jpg,"['Terminar el trabajo con tiempo', 'Mi grupo']"
Batman,1686511966.704153,Meme guardado,template4.jpg,"['Yo', 'Villanos de Ciudad Gotica']"
jxskier,1686572531.584056,Nuevo usuario,,
Lean,1686573377.626166,Nuevo usuario,,
Lean,1686574290.285207,Nueva imagen clasificada.,,
Lean,1686574319.091406,Nueva imagen clasificada.,,
Lean,1686574367.72546,Nueva imagen clasificada.,,
Lean,1686574390.516716,Nueva imagen clasificada.,,
enzosaave,1686585723.813401,Nuevo usuario,,
enzosaave,1686585974.420641,Nueva imagen clasificada.,,
enzosaave,1686585994.109706,Nueva imagen clasificada.,,
fotos,1686586476.105325,Nuevo usuario,,
fotos,1686586658.499721,Nueva imagen clasificada.,,
clari,1686587045.043336,Nuevo usuario,,
clari,1686587372.196618,Nueva imagen clasificada.,,
clari,1686587414.238707,Nueva imagen clasificada.,,
clari,1686587465.61193,Nueva imagen clasificada.,,
clari,1686587815.511178,Nueva imagen clasificada.,,
clari,1686588281.871758,Nueva imagen clasificada.,,
clari,1686588315.416507,Collage guardado,"['Vacaciones2.jpg', 'Vacaciones4.jpg', 'Vacaciones9.jpg']",Mis veranos
fotos,1686588970.239415,Nueva imagen clasificada.,,
fotos,1686589006.326112,Collage guardado,"['Vacaciones6.jpg', 'Vacaciones2.jpg', 'Vacaciones4.jpg', 'Vacaciones8.jpg']",veranito 2003
Pato,1686620791.069707,Perfil modificado,,
Pato,1686620843.040337,Perfil modificado,,
Pato,1686620852.500714,Perfil modificado,,
Pato,1686620862.589329,Perfil modificado,,
Pato,1686620879.415826,Cambio_configuración,,
Pato,1686621158.341636,Perfil modificado,,
Pato,1686621168.406413,Cambio_configuración,,
Carpincho,1686662107.041066,Nuevo usuario,,
Carpincho,1686662274.947687,Nueva imagen clasificada.,,
Carpincho,1686662516.964467,Meme guardado,template3.jpg,"['Modificar una imagen', 'Todo el genero femenino']"
Juanchin,1686768194.001611,Nuevo usuario,,
Juanchin,1686858496.015422,Nueva imagen clasificada.,,
Juanchin,1686858810.231948,Collage guardado,"['Vacaciones2.jpg', 'Vacaciones3.jpg']",Vacaciones uwu
clari,1686861275.498833,Collage guardado,"['Vacaciones8.jpg', 'Vacaciones4.jpg']",Tirando Facha
clari,1687053408.298261,Modificación de imagen.,,
Lean,1687144976.456536,Cambio_configuración,,
clari,1687145106.611348,Cambio_configuración,,
Batman,1687145288.247469,Cambio_configuración,,
Batman,1687145717.978441,Cambio_configuración,,
Pato,1687874734.493635,Perfil modificado,,
Poisson,1687875731.770251,Nuevo usuario,,
Poisson,1687875759.487947,Perfil modificado,,
Poisson,1687875840.568238,Nuevo usuario,,
Poisson,1687875953.893415,Perfil modificado,,
Poisson,1687875974.39278,Perfil modificado,,
Poisson,1687876001.478399,Perfil modificado,,
Poisson,1687876089.495139,Perfil modificado,,
jxskier,1687876439.50865,Perfil modificado,,
jxskier,1687876504.906493,Perfil modificado,,
Lean,1687876564.094384,Perfil modificado,,
jxskier,1687876664.074944,Perfil modificado,,
jxskier,1687876783.314536,Perfil modificado,,
jxskier,1687878875.921736,Modificación de imagen.,,
Pato,1687878979.771934,Modificación de imagen.,,
Lean,1687907360.723629,Collage guardado,"['Vacaciones2 (1).jpg', 'Vacaciones3 (2).jpg', 'Vacaciones6.jpg']",
Lean,1687907752.577505,Meme guardado,template5.jpg,"['Texto 1', 'Texto 2', 'Texto 3', 'Texto 4']"
jxskier,1687915731.105255,Perfil modificado,,
jxskier,1687915746.731819,Perfil modificado,,
jxskier,1687915831.668075,Modificación de imagen.,,
jxskier,1687915916.291489,Modificación de imagen.,,
jxskier,1687916168.027426,Modificación de imagen.,,
jxskier,1687916181.447271,Modificación de imagen.,,
jxskier,1687917268.844175,Nueva imagen clasificada.,,
Poisson,1688080594.458338,Modificación de imagen.,,
Poisson,1688080631.195307,Nueva imagen clasificada.,,
Poisson,1688080661.658176,Modificación de imagen.,,
Ale,1688142681.427418,Nuevo usuario,,
Ale,1688142710.996271,Cambio_configuración,,
Ale,1688142793.956251,Cambio_configuración,,
Ale,1688142944.134911,Cambio_configuración,,
Ale,1688142960.772397,Modificación de imagen.,,
